number,ini_velX,ini_velY,ini_velZ,ini_posX,ini_posY,ini_posZ,trialID,_isCorrect,ponPosX,ponPosY,ponPosZ,timeSinceEngineStart,camID,camShelf_h,camShelf_num,camPosX,camPosY,camPosZ,1targetX,1targetX,1targetX,1targetX,1targetX,1targetX,
0,0,0,0,0,0,0,a09574c473a748938b6dcadc987598b4,False,0,0,0,1.993847,2,7,12,16.7,95.85001,5.004212,0,0,0,0,0,0,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,0,0,0,2.016395,2,7,12,16.7,95.85001,5.004212,0,0,0,0,0,0,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2734.481,-12245.04,3.804212,2.058827,2,7,12,16.7,95.85001,5.004212,0,0,0,0,0,0,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2734.481,-12245.04,3.804212,2.079991,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2699.332,-12246.1,3.804212,2.100168,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2664.183,-12247.69,3.804212,2.120377,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2629.035,-12249.81,3.804212,2.139942,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2593.886,-12252.46,3.804212,2.160328,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2558.737,-12255.65,3.804212,2.18052,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2523.588,-12259.36,3.804212,2.202444,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2488.44,-12263.6,3.804212,2.222856,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2453.291,-12268.37,3.804212,2.243305,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2418.142,-12273.67,3.804212,2.263819,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
0,13,0,0,0,3.1,1.2,a09574c473a748938b6dcadc987598b4,False,2382.994,-12279.51,3.804212,2.28424,2,7,12,16.7,95.85001,5.004212,60.62561,-13799.86,3.804212,-209.7493,-13799.86,3.804212,
