number,ini_velX,ini_velY,ini_velZ,ini_posX,ini_posY,ini_posZ,trialID,_isCorrect,ponPosX,ponPosY,ponPosZ,timeSinceEngineStart,camID,camShelf_h,camShelf_num,camPosX,camPosY,camPosZ,1targetX,1targetX,1targetX,1targetX,1targetX,1targetX,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2916.082,-16728.23,3.804212,2.637518,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2890.584,-16746.8,3.804212,2.657833,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2865.086,-16766.09,3.804212,2.678624,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2839.589,-16786.09,3.804212,2.699054,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2814.091,-16806.81,3.804212,2.720018,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2788.593,-16828.24,3.804212,2.740192,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2763.095,-16850.38,3.804212,2.760229,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2737.597,-16873.24,3.804212,2.780531,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2712.099,-16896.81,3.804212,2.800603,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2686.602,-16921.1,3.804212,2.821189,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
