number,ini_velX,ini_velY,ini_velZ,ini_posX,ini_posY,ini_posZ,trialID,_isCorrect,ponPosX,ponPosY,ponPosZ,timeSinceEngineStart,camID,camShelf_h,camShelf_num,camPosX,camPosY,camPosZ,1targetX,1targetX,1targetX,1targetX,1targetX,1targetX,
0,0,0,0,0,0,0,3bf163be5caf4a1b873300072391ff49,False,0,0,0,1.820021,2,7,12,16.7,95.85001,5.004212,0,0,0,0,0,0,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,0,0,0,1.841473,2,7,12,16.7,95.85001,5.004212,0,0,0,0,0,0,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,9249.412,-40157.79,3.804212,1.885323,2,7,12,16.7,95.85001,5.004212,0,0,0,0,0,0,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,9249.412,-40157.79,3.804212,1.901832,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,9178.512,-40161.26,3.804212,1.917354,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,9178.512,-40161.26,3.804212,1.93317,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,9107.609,-40166.48,3.804212,1.949175,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,9036.709,-40173.43,3.804212,1.965368,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8965.808,-40182.13,3.804212,1.981434,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8965.808,-40182.13,3.804212,1.998133,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8894.906,-40192.56,3.804212,2.017399,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8824.005,-40204.73,3.804212,2.033911,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8753.104,-40218.64,3.804212,2.05035,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8682.202,-40234.29,3.804212,2.06607,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8611.302,-40251.68,3.804212,2.081871,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8540.4,-40270.81,3.804212,2.097938,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8540.4,-40270.81,3.804212,2.113687,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8469.5,-40291.68,3.804212,2.130043,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
0,8,0,0,0,3.1,1.2,3bf163be5caf4a1b873300072391ff49,False,8398.598,-40314.28,3.804212,2.146135,2,7,12,16.7,95.85001,5.004212,3818.291,-45379.55,3.804213,4704.556,-45379.55,3.804213,
